Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
BARS-M4 (Cosmos 2567),Russia,Russia,Ministry of Defense,Military,Earth Observation,LEO,Sun-Synchronous,501,514,23/03/23,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1a,2023-040A,55978,Electronic intelligence gathering (ELINT).
Dove 4y-1 (0 Flock 4-y1 2415),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,523,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001AG,55039,No Comments
Dove 4y-10 (0 Flock 4y10 24c3),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,536,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001W,55029,No Comments
Dove 4y-11 (0 Flock 4y-11 24a7),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,523,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001AL,55043,No Comments
Dove 4y-12 (0 Flock 4y-12 24cf) ,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,522,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BJ,55065,No Comments
Dove 4y-13 (0 Flock 4y-13 24c7),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,518,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BY,55079,No Comments
Dove 4y-14 (0 Flock 4y14 24b3),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001R,55024,No Comments
Dove 4y-15 (0 Flock 4y-15 24b3),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,524,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001BM,55068,No Comments
Dove 4y-16 (0 Flock 4y-16 24c9),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,517,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001AH,55040,No Comments
Dove 4y-17 (0 Flock 4y17 24c2),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,522,537,03/01/23,"Planet Labs, Inc.",USA,Cape Canaveral,Falcon 9,2023-001Y,55031,No Comments
